capucine,f
begonia,m
petunia,m
geranium,m
fuchsia,m
primevere,f
anemone,f
edelweiss,m
coton,m
lin,m
chanvre,m
roseau,m
laurier,m
myrtille,f
canneberge,f
cassis,m
groseille,f
passiflore,f
vanille,f
cannelle,f
safran,m
curcuma,m
gingembre,m
cardamome,f
poivre,m
piment,m
banane,f
pomme,f
poire,f
cerise,f
prune,f
abricot,m
peche,f
amande,f
noisette,f
noix,f
chataigne,f
cacao,m
cafe,m
the,m
figue,f
olive,f
raisin,m
melon,m
pasteque,f
ananas,m
mangue,f
papaye,f
litchi,m
grenade,f
kaki,m
framboise,f
mûre,f
fraise,f
carotte,f
navet,m
radis,m
betterave,f
courgette,f
concombre,m
potiron,m
citrouille,f
chou,m
brocoli,m
epinard,m
salade,f
laitue,f
coco,f
courge,f
asperge,f
artichaut,m
poivron,m
aubergine,f
oignon,m
echalote,f
