grand,grande
desagrafe,desagrafee
epingle,epinglee
cramponne,cramponnee
ancre,ancree
desancre,desancree
fixe,fixee
attache,attachee
detache,detachee
lie,liee
delie,deliee
entrave,entravee
enchaine,enchainee
denchaine,denchainee
libere,liberee
captif,captive
libre,libre
encage,encagee
enferme,enfermee
ouvert,ouverte
scelle,scellee
descelle,descellee
agile,agile
souple,souple
adroit,adroite
maladroit,maladroite
habile,habile
gauche,gauche
dextre,dextre
precis,precise
imprecis,imprecise
coordonne,coordonnee
equilibre,equilibree
reactif,reactive
vigoureux,vigoureuse
proactif,proactive
initiatif,initiative
dependant,dependante
autonome,autonome
soumis,soumise
dominant,dominante
domine,dominee
opprime,opprimee
emancipe,emancipee
revolte,revoltee
rebelle,rebelle
tolerant,tolerante
ferme,fermee
indulgent,indulgente
severe,severe
clement,clemente
cruel,cruelle
benin,benigne
malin,maligne
bon,bonne
mauvais,mauvaise
moral,morale
immoral,immorale
ethique,ethique
amoral,amorale
vertueux,vertueuse
vicieux,vicieuse
integre,integre
corrompu,corrompue
honnete,honnete
malhonnete,malhonnete
sincere,sincere
hypocrite,hypocrite
franc,franche
faux,fausse
vrai,vraie
veridique,veridique
menteur,menteuse
fiable,fiable
sur,sure
certain,certaine
incertain,incertaine
previsible,previsible
constant,constante
variable,variable
fidele,fidele
infidele,infidele
loyal,loyale
deloyal,deloyale
confiant,confiante
mefiant,mefiante
naif,naive
credule,credule
sceptique,sceptique
optimiste,optimiste
pessimiste,pessimiste
positif,positive
negatif,negative
innovant,innovante
rouge,rouge
bleu,bleue
vert,verte
jaune,jaune
noir,noire
blanc,blanche
gris,grise
rose,rose
violet,violette
orange,orange
marron,marron
beige,beige
cuivre,cuivree
bronze,bronzee
dore,doree
argente,argentee
ecarlate,ecarlate
pourpre,pourpre
mauve,mauve
indigo,indigo
turquoise,turquoise
kaki,kaki
cramoisi,cramoisie
rond,ronde
carre,carree
lisse,lisse
rugueux,rugueuse
plat,plate
creux,creuse
pointu,pointue
arrondi,arrondie
anguleux,anguleuse
oval,ovale
spherique,spherique
conique,conique
cubique,cubique
pyramidal,pyramidale
symetrique,symetrique
allonge,allongee
elance,elancee
massif,massive
mou,molle
delicat,delicate
spongieux,spongieuse
serre,serree
complet,complete
unique,unique
simple,simple
complexe,complexe
homogene,homogene
heterogene,heterogene
uniforme,uniforme
varie,variee
regulier,reguliere
ordonne,ordonnee
original,originale
different,differente
semblable,semblable
adapte,adaptee
inadapte,inadaptee
coherent,coherente
logique,logique
illogique,illogique
abstrait,abstraite
concret,concrete
pratique,pratique
applique,appliquee
utile,utile
inutile,inutile
precieux,precieuse
banal,banale
commun,commune
rare,rare
mobile,mobile
inerte,inerte
anime,animee
inanime,inanimee
organise,organisee
structure,structuree
disperse,dispersee
concentre,concentree
dilue,diluee
immerge,immergee
submerge,submergee
flottant,flottante
coulant,coulante
pateux,pateuse
granuleux,granuleuse
poudreux,poudreuse
vitreux,vitreuse
metallique,metallique
ceramique,ceramique
plastique,plastique
resineux,resineuse
fibreux,fibreuse
feutre,feutree
veloute,veloutee
doux,douce
polie,polie
brut,brute
taille,taillee
sculpte,sculptee
grave,gravee
imprime,imprimee
peint,peinte
dessine,dessinee
brode,brodee
tisse,tissee
tricote,tricotee
verni,vernie
laque,laquee
cire,ciree
huile,huilee
teint,teinte
decolore,decoloree
blanchi,blanchie
noirci,noircie
rougi,rougie
jauni,jaunie
bleui,bleuie
verdi,verdie
pale,pale
fonce,foncee
vide,videe
empli,emplie
modifie,modifiee
altere,alteree
conserve,conservee
stabilise,stabilisee
fetide,fetide
putride,putride
ranci,rancie
gentil,gentille
mechant,mechante
joyeux,joyeuse
triste,triste
heureux,heureuse
timide,timide
courageux,courageuse
peureux,peureuse
audacieux,audacieuse
temeraire,temeraire
prudent,prudente
imprudent,imprudente
sage,sage
fou,folle
stupide,stupide
cultive,cultivee
ignorant,ignorante
savant,savante
expert,experte
competent,competente
ambitieux,ambitieuse
modeste,modeste
humble,humble
arrogant,arrogante
vaniteux,vaniteuse
complique,compliquee
facile,facile
difficile,difficile
confus,confuse
methodique,methodique
chaotique,chaotique
rigoureux,rigoureuse
negligent,negligente
attentif,attentive
distrait,distraite
assidu,assidue
faineant,faineante
creatif,creative
moderne,moderne
ancien,ancienne
age,agee
reflechi,reflechie
impulsif,impulsive
calme,calme
agite,agitee
serein,sereine
nerveux,nerveuse
paisible,paisible
turbulent,turbulente
spontane,spontanee
calcule,calculee
emotif,emotive
insensible,insensible
empathique,empathique
egoiste,egoiste
altruiste,altruiste
genereux,genereuse
avare,avare
radin,radine
amical,amicale
hostile,hostile
agreable,agreable
charmant,charmante
attirant,attirante
seduisant,seduisante
ennuyeux,ennuyeuse
passionne,passionnee
blase,blasee
motive,motivee
demotive,demotivee
tenace,tenace
obstine,obstinee
tetu,tetue
adaptable,adaptable
raide,raide
malleable,malleable
inflexible,inflexible
patient,patience
colerique,colerique
violent,violente
agressif,agressive
pacifique,pacifique
guerrier,guerriere
combatif,combative
pacifiste,pacifiste
brave,brave
lache,lache
heroique,heroique
craintif,craintive
sain,saine
malade,malade
reformiste,reformiste
radical,radicale
modere,moderee
extremiste,extremiste
fanatique,fanatique
hardi,hardie
timore,timoree
intrepide,intrepide
nacre,nacree
irise,irisee
exuberant,exuberante
rayonnant,rayonnante
epique,epique
legendaire,legendaire
mythique,mythique
